,c1_c2,c2_c3,c3_c0,p1,p2,p3,p4
0,6.7910682750128775,6.999999652201162,17.660043150656026,[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255],[  25.92893219 -148.52529907]
1,6.7910682750128775,6.999999652201162,17.660043150656026,[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255],[  25.92893219 -148.52529907]
2,6.7910682750128775,6.999999652201162,17.660043150656026,[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255],[  25.92893219 -148.52529907]
3,6.790316615485037,6.999993992751656,17.66761241217526,[  11.20083237 -158.27005005],[  12.92549324 -151.65176392],[  18.93896103 -148.49794006],[  25.93889618 -148.52664185]
4,6.78190282062028,6.999999902593896,17.699732438322155,[  11.20083237 -158.27005005],[  12.95864868 -151.62142944],[  18.98204041 -148.50486755],[  25.98198128 -148.53361511]
5,6.768183237535532,7.000275123788181,17.757392268121656,[  11.20083237 -158.27005005],[  13.01717377 -151.56758118],[  19.05916786 -148.51756287],[  26.05938339 -148.54644775]
6,6.751676600256498,6.998369855555587,17.8381298825858,[  11.20083237 -158.27005005],[  13.0991497 -151.4927063],[  19.16942406 -148.53688049],[  26.16773796 -148.56486511]
7,6.731252823237233,6.997343921879504,17.942300856202415,[  11.20083237 -158.27005005],[  13.20514774 -151.39675903],[  19.31059456 -148.56245422],[  26.30788422 -148.5900116 ]
8,6.705770573242255,6.994843454703217,18.06772137960928,[  11.20083237 -158.27005005],[  13.33664036 -151.27941895],[  19.48200607 -148.59579468],[  26.47680092 -148.62187195]
9,6.6789967332712346,6.993108075558813,18.21585699154433,[  11.20083237 -158.27005005],[  13.49238586 -151.14250183],[  19.6834507  -148.63656616],[  26.67651367 -148.66168213]
10,6.6513941717441565,6.991970777649311,18.384004777403657,[  11.20083237 -158.27005005],[  13.67157555 -150.98847961],[  19.91143036 -148.68516541],[  26.90335846 -148.70959473]
11,6.626440846307199,6.990957316319464,18.570909841253247,[  11.20083237 -158.27005005],[  13.87253475 -150.82077026],[  20.16455078 -148.74224854],[  27.15546799 -148.76593018]
