,c1_c2,c2_c3,c3_c0,p1,p2,p3,p4
0,6.7910682750128775,6.999999652201162,17.660043150656026,[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255],[  25.92893219 -148.52529907]
1,6.7910682750128775,6.999999652201162,17.660043150656026,[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255],[  25.92893219 -148.52529907]
2,6.7910682750128775,6.999999652201162,17.660043150656026,[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255],[  25.92893219 -148.52529907]
3,6.790316615485037,6.990024702775895,17.660042355311916,[  11.20083237 -158.27005005],[  12.92549324 -151.65176392],[  18.93896103 -148.49794006],[  25.92893219 -148.52529907]
4,6.78190282062028,6.94692183019485,17.660042355311916,[  11.20083237 -158.27005005],[  12.95864868 -151.62142944],[  18.98204041 -148.50486755],[  25.92893219 -148.52529907]
5,6.768183237535532,6.869768683964961,17.660042355311916,[  11.20083237 -158.27005005],[  13.01717377 -151.56758118],[  19.05916786 -148.51756287],[  25.92893219 -148.52529907]
6,6.752192616265258,6.759518054456148,17.660042355311916,[  11.20083237 -158.27005005],[  13.09872437 -151.49301147],[  19.16942406 -148.53688049],[  25.92893219 -148.52529907]
7,6.732212338779056,6.618441924363303,17.660042355311916,[  11.20083237 -158.27005005],[  13.20435905 -151.39733887],[  19.31059456 -148.56245422],[  25.92893219 -148.52529907]
8,6.707514088125513,6.474616610494418,17.68091228285716,[  11.20083237 -158.27005005],[  13.33562183 -151.279953  ],[  19.48231697 -148.59501648],[  25.95660019 -148.52931213]
9,6.680127249812005,6.409850400937488,17.78247095692254,[  11.20083237 -158.27005005],[  13.49129868 -151.14295959],[  19.68341637 -148.63661194],[  26.09270287 -148.55158997]
10,6.652204239757927,6.379169813764603,17.928533131817023,[  11.20083237 -158.27005005],[  13.67046928 -150.98890686],[  19.91115379 -148.6855011 ],[  26.28956223 -148.58694458]
11,6.627173304286395,6.360900464938004,18.102187812995002,[  11.20083237 -158.27005005],[  13.87142181 -150.82113647],[  20.16419411 -148.74256897],[  26.5241394  -148.63233948]
