,c1_c2,c2_c3,c3_c0,p1,p2,p3,p4
0,6.7910682750128775,6.999999652201162,17.660043150656026,[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255],[  25.92893219 -148.52529907]
1,6.7910682750128775,6.999999652201162,17.660043150656026,[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255],[  25.92893219 -148.52529907]
2,6.7910682750128775,6.999999652201162,17.660043150656026,[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255],[  25.92893219 -148.52529907]
3,6.791115549279263,6.999132191696806,17.66761241217526,[  11.20083237 -158.27005005],[  12.92549324 -151.65176392],[  18.93982315 -148.49786377],[  25.93889618 -148.52664185]
4,6.780264964191807,7.001414518489476,17.6994725797773,[  11.20083237 -158.27005005],[  12.95864868 -151.62142944],[  18.98013306 -148.50474548],[  25.98148918 -148.53334045]
5,6.765965808977892,7.002236454336909,17.757161996564587,[  11.20083237 -158.27005005],[  13.01717377 -151.56758118],[  19.05656052 -148.51731873],[  26.05873871 -148.54588318]
6,6.748715004450079,7.00179807946527,17.83756649502352,[  11.20083237 -158.27005005],[  13.09872437 -151.49301147],[  19.16496086 -148.53565979],[  26.16670036 -148.56430054]
7,6.727239998039651,7.000893991950018,17.940565460320915,[  11.20083237 -158.27005005],[  13.20438194 -151.39738464],[  19.30441856 -148.56095886],[  26.30525589 -148.58912659]
8,6.701788408013347,7.0003771660686915,18.066971032112008,[  11.20083237 -158.27005005],[  13.33565235 -151.27999878],[  19.47528458 -148.59320068],[  26.47560501 -148.62138367]
9,6.6745527312182595,7.000197018572376,18.215665674362704,[  11.20083237 -158.27005005],[  13.49155521 -151.14332581],[  19.67613029 -148.63320923],[  26.67626953 -148.66165161]
10,6.645543125929668,7.000669653413086,18.384133018613152,[  11.20083237 -158.27005005],[  13.67078495 -150.98939514],[  19.90308762 -148.68252563],[  26.90370369 -148.70991516]
11,6.619709763719927,7.000796671534504,18.57117169485498,[  11.20083237 -158.27005005],[  13.87175274 -150.82168579],[  20.15544701 -148.73944092],[  27.15619087 -148.76663208]
