,c1_c2,c2_c3,c3_c0,p1,p2,p3,p4
0,6.7910682750128775,6.999999652201162,17.660043150656026,[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255],[  25.92893219 -148.52529907]
1,6.7910682750128775,6.999999652201162,17.660043150656026,[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255],[  25.92893219 -148.52529907]
2,6.7910682750128775,6.999999652201162,17.660043150656026,[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255],[  25.92893219 -148.52529907]
3,6.783485601649878,6.999965633289672,17.656423754487996,[  11.20071793 -158.26112366],[  12.92549324 -151.65176392],[  18.93063736 -148.4967804 ],[  25.9305439  -148.52554321]
4,6.754072049782945,7.001693219734065,17.647674057320504,[  11.19983387 -158.21844482],[  12.9585619  -151.62164307],[  18.94769287 -148.49949646],[  25.94932556 -148.52861023]
5,6.71801775974945,7.003355681765713,17.64399390162613,[  11.19868279 -158.14006042],[  13.01697922 -151.56808472],[  18.99720001 -148.50724792],[  26.0004921  -148.53709412]
6,6.6781566221527635,7.00277455902194,17.646884951582344,[  11.19703102 -158.02967834],[  13.09899139 -151.4934082 ],[  19.079216   -148.52108765],[  26.08192825 -148.55062866]
7,6.632230706185817,7.003132495381846,17.656132337824694,[  11.19481277 -157.88470459],[  13.20533371 -151.39712524],[  19.1907711  -148.54037476],[  26.19384193 -148.56976318]
8,6.581369672447142,7.001127827344215,17.671613890738996,[  11.19208813 -157.70744324],[  13.33618832 -151.28004456],[  19.33168983 -148.56556702],[  26.33275795 -148.59448242]
9,6.528618384674503,6.993700434327261,17.694474685825583,[  11.18888378 -157.4992981 ],[  13.49180984 -151.14352417],[  19.50380898 -148.59819031],[  26.4974556  -148.62562561]
10,6.477013563606405,6.983218866652004,17.727814044974224,[  11.18556023 -157.26112366],[  13.67081547 -150.98976135],[  19.70611763 -148.63883972],[  26.689291   -148.66404724]
11,6.428285520832703,6.973890421381127,17.775078907175473,[  11.18281746 -156.9957428 ],[  13.87153625 -150.82214355],[  19.93502998 -148.68745422],[  26.90888214 -148.71055603]
