,c1_c2,c2_c3,c3_c0,p1,p2,p3,p4
0,6.7910682750128775,6.999999652201162,17.660043150656026,[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255],[  25.92893219 -148.52529907]
1,6.7910682750128775,6.999999652201162,17.660043150656026,[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255],[  25.92893219 -148.52529907]
2,6.7910682750128775,6.999999652201162,17.660043150656026,[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255],[  25.92893219 -148.52529907]
3,6.790316615485037,6.999493270830596,17.6617426591033,[  11.20071793 -158.26112366],[  12.92549324 -151.65176392],[  18.93896103 -148.49794006],[  25.93839073 -148.527771  ]
4,6.781273699911114,7.000128825324577,17.669964849796383,[  11.19983387 -158.21844482],[  12.9585619  -151.62164307],[  18.9811821  -148.50495911],[  25.98123932 -148.53662109]
5,6.766420615144759,7.001724948285292,17.685846859831383,[  11.19868279 -158.14006042],[  13.01697922 -151.56808472],[  19.0566597  -148.51739502],[  26.05831146 -148.54940796]
6,6.7486196952052495,7.00261551776478,17.70917667018478,[  11.19693565 -158.02871704],[  13.09880924 -151.49342346],[  19.16478348 -148.53575134],[  26.16732407 -148.56814575]
7,6.72626291127203,7.002004399165765,17.739029815437156,[  11.19477177 -157.8837738 ],[  13.20545769 -151.39707947],[  19.30436707 -148.56054688],[  26.30629539 -148.59318542]
8,6.700882362908307,7.001042892642129,17.778773225350804,[  11.19212246 -157.70655823],[  13.33697987 -151.27937317],[  19.47579002 -148.59295654],[  26.47675705 -148.62554932]
9,6.673981324374311,7.000350888223,17.829906034007752,[  11.18899632 -157.49838257],[  13.49294186 -151.14259338],[  19.67723465 -148.63330078],[  26.67750931 -148.66596985]
10,6.646457516095571,6.999681772640408,17.89234912681455,[  11.18540382 -157.26013184],[  13.67218399 -150.9886322 ],[  19.90541649 -148.68164062],[  26.90502167 -148.71438599]
11,6.621466828027405,6.999073549400717,17.968572811294628,[  11.18138504 -156.99499512],[  13.87311649 -150.82087708],[  20.15859604 -148.73843384],[  27.15759277 -148.77122498]
