,c1_c2,c2_c3,c3_c0,p1,p2,p3,p4
0,6.831483818924145,13.382104911916192,6.999999652201162,[  18.92899132 -148.49661255],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  25.92893219 -148.52529907]
1,6.831483818924145,13.382104911916192,6.999999652201162,[  18.92899132 -148.49661255],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  25.92893219 -148.52529907]
2,6.831483818924145,13.382104911916192,6.999999652201162,[  18.92899132 -148.49661255],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  25.92893219 -148.52529907]
3,6.8307017262991145,13.374012372313253,6.990024702775895,[  18.93896103 -148.49794006],[  11.20071793 -158.26112366],[  12.92549324 -151.65176392],[  25.92893219 -148.52529907]
4,6.827278099837674,13.334702004938405,6.94692183019485,[  18.98204041 -148.50486755],[  11.19980526 -158.21826172],[  12.95864868 -151.62142944],[  25.92893219 -148.52529907]
5,6.818348805635802,13.265330224815049,6.869768683964961,[  19.05916786 -148.51756287],[  11.1986475  -158.13894653],[  13.01717377 -151.56758118],[  25.92893219 -148.52529907]
6,6.805005455767061,13.168961604021725,6.759197028134855,[  19.16974449 -148.53652954],[  11.19678307 -158.02682495],[  13.09872437 -151.49301147],[  25.92893219 -148.52529907]
7,6.788901357732696,13.044668415147504,6.6204735320159305,[  19.30855751 -148.56147766],[  11.19456005 -157.88192749],[  13.20435905 -151.39733887],[  25.92893219 -148.52529907]
8,6.773116211068931,12.917241185278563,6.479728204843202,[  19.4771862  -148.59312439],[  11.19197464 -157.70489502],[  13.33562183 -151.279953  ],[  25.95660019 -148.52931213]
9,6.758094128416267,12.865091687001964,6.4159153371163,[  19.67730904 -148.63339233],[  11.18891048 -157.49676514],[  13.49129868 -151.14295959],[  26.09270287 -148.55158997]
10,6.744101592033505,12.84569619831799,6.385705675047754,[  19.90456009 -148.68173218],[  11.18574524 -157.25854492],[  13.67041588 -150.98883057],[  26.28956223 -148.58694458]
11,6.732074379280042,12.841673696730862,6.368546981302371,[  20.15718651 -148.73852539],[  11.18319511 -156.99313354],[  13.87134457 -150.82104492],[  26.52481842 -148.63056946]
12,6.726810609374484,12.844923092266232,6.356124040282581,[  20.43625641 -148.80473328],[  11.18095875 -156.7021637 ],[  14.09620571 -150.63987732],[  26.7912178 -148.6831665]
13,6.727944974776597,12.852588861023486,6.345461339262553,[  20.74165726 -148.88052368],[  11.18267918 -156.38444519],[  14.34614754 -150.44662476],[  27.08568573 -148.74568176]
14,6.7365076934283685,12.863930668883178,6.335606155041507,[  21.07286644 -148.9657135 ],[  11.18980789 -156.04016113],[  14.62202835 -150.24357605],[  27.40675735 -148.81829834]
15,6.753187154272467,12.879123470314672,6.326478658226648,[  21.42901802 -149.05966187],[  11.2042675  -155.67001343],[  14.92429638 -150.03379822],[  27.75350761 -148.90103149]
16,6.778693343660744,12.898300231486523,6.3181164934659915,[  21.80932236 -149.16143799],[  11.22891426 -155.27536011],[  15.25345993 -149.82066345],[  28.12520409 -148.9934082 ]
17,6.814232429822009,12.920671425948242,6.317153348177756,[  22.20689583 -149.28549194],[  11.26696301 -154.85797119],[  15.61068249 -149.60765076],[  28.52116585 -149.09465027]
18,6.859925861591514,12.945481295017377,6.336791982855149,[  22.60856819 -149.44917297],[  11.32202625 -154.41957092],[  15.99659061 -149.39891052],[  28.94059753 -149.20353699]
19,6.917565961877043,12.97194299356016,6.369036239353913,[  23.02167511 -149.63504028],[  11.39321613 -153.96070862],[  16.41143608 -149.1993866 ],[  29.38283348 -149.31835938]
20,6.984255292883454,12.99904887830018,6.3837918980100365,[  23.47271729 -149.77778625],[  11.49065304 -153.48640442],[  16.85524559 -149.01416016],[  29.84741211 -149.43710327]
21,7.05735762992365,13.025763980768836,6.394098333603745,[  23.94969368 -149.90948486],[  11.62102795 -153.00030518],[  17.32766724 -148.84812927],[  30.33409882 -149.55754089]
22,7.139252482861492,13.043996479531033,6.395560921203719,[  24.44529533 -150.0350647 ],[  11.78203583 -152.51229858],[  17.82266617 -148.70707703],[  30.83070755 -149.6749115 ]
23,7.224229599557301,13.059019992904073,6.395548444317564,[  24.93785858 -150.14848328],[  11.96820641 -152.03982544],[  18.31838608 -148.5953064 ],[  31.32308197 -149.78521729]
24,7.316639800460239,13.072675512342796,6.396510541495873,[  25.43325424 -150.24859619],[  12.18214321 -151.57943726],[  18.8206749 -148.5032196],[  31.819664   -149.88926697]
25,7.420396212712356,13.093206204453393,6.397950782508859,[  25.93792915 -150.33602905],[  12.43146706 -151.1333313 ],[  19.3297863  -148.39920044],[  32.32635498 -149.98704529]
26,7.5324643948402175,13.128120988162436,6.399313260920654,[  26.45571518 -150.4108429 ],[  12.71321774 -150.70783997],[  19.84267426 -148.27702332],[  32.84645081 -150.07962036]
27,7.640389864423105,13.161243407018686,6.400799485116907,[  26.98859596 -150.4725647 ],[  13.02271938 -150.30990601],[  20.36732292 -148.20458984],[  33.38193893 -150.16369629]
28,7.744333068881074,13.195400754097207,6.402561891942109,[  27.53741455 -150.52053833],[  13.35381889 -149.94561768],[  20.89750671 -148.19419861],[  33.93372345 -150.23764038]
29,7.8657515932530195,13.225197410089,6.404695635618781,[  28.10238647 -150.55461121],[  13.69989586 -149.618927  ],[  21.44097519 -148.22402954],[  34.50205994 -150.30102539]
30,8.00199117255348,13.25214968552603,6.407325541876545,[  28.68336868 -150.57475281],[  14.06109428 -149.3243866 ],[  21.99612427 -148.29135132],[  35.08686829 -150.35336304]
31,8.142646903828615,13.28270437059225,6.410580808472249,[  29.28004646 -150.58120728],[  14.43833923 -149.05863953],[  22.55478477 -148.40594482],[  35.6878891  -150.39385986]
32,8.273232323165333,13.331964154512944,6.414729297113807,[  29.89180565 -150.57261658],[  14.83047104 -148.8213501 ],[  23.10027122 -148.58306885],[  36.30477142 -150.42221069]
33,8.398626872515218,13.402699319373681,6.419551104589757,[  30.51859474 -150.55224609],[  15.23679066 -148.61212158],[  23.63291931 -148.81695557],[  36.93714142 -150.43869019]
34,8.561501491627592,13.461117975090955,6.424927668188649,[  31.16014671 -150.52235413],[  15.65724373 -148.4306488 ],[  24.19735336 -149.03549194],[  37.58459473 -150.44384766]
35,8.744016343722773,13.517776677770692,6.430826407554532,[  31.8161068  -150.48402405],[  16.09135628 -148.27732849],[  24.78232765 -149.23901367],[  38.24677277 -150.43859863]
36,8.938673723350835,13.575339629616392,6.437086450234825,[  32.48625946 -150.43914795],[  16.53790474 -148.15306091],[  25.38396645 -149.43644714],[  38.9233284 -150.4241333]
37,9.142452851544112,13.633335070370917,6.443538583095828,[  33.17045975 -150.38983154],[  16.9956131  -148.05830383],[  26.00279808 -149.62516785],[  39.61398697 -150.40193176]
38,9.35286540806337,13.690936406547811,6.450017801090306,[  33.86857605 -150.33824158],[  17.46289635 -147.99359131],[  26.63956261 -149.80049133],[  40.3184967  -150.37364197]
39,9.568225466036397,13.747517329150226,6.456391821916583,[  34.58049393 -150.28649902],[  17.9374485  -147.95939636],[  27.29445457 -149.95874023],[  41.03665543 -150.34103394]
40,9.788348043029176,13.802703655890445,6.462569127296797,[  35.30607605 -150.23652649],[  18.41628265 -147.95622253],[  27.96711349 -150.09944153],[  41.7682724  -150.30593872]
41,10.01326634334869,13.856176740323875,6.468497821401889,[  36.04517365 -150.19000244],[  18.89619255 -147.98416138],[  28.65709686 -150.2180481 ],[  42.51317596 -150.27006531]
42,10.243543525669336,13.907651028862068,6.474195115643563,[  36.79759216 -150.14828491],[  19.37547112 -148.03985596],[  29.36376953 -150.31231689],[  43.2712059  -150.23504639]
43,10.480426887595126,13.957076216154109,6.479668973031783,[  37.56312561 -150.11239624],[  19.85309029 -148.11836243],[  30.08624649 -150.3815155 ],[  44.04217148 -150.20225525]
44,10.72673302799513,14.00450836408387,6.484981701605275,[  38.34152603 -150.08302307],[  20.32742691 -148.21585083],[  30.82369232 -150.42745972],[  44.82588577 -150.1728363 ]
45,10.984944131230183,14.05017473770959,6.4901386604812155,[  39.13254929 -150.06048584],[  20.79742622 -148.32904053],[  31.57525253 -150.45211792],[  45.62211227 -150.14692688]
46,11.256668112590656,14.094402736833969,6.4952098246811945,[  39.93592834 -150.04475403],[  21.26304245 -148.45472717],[  32.34013367 -150.4573822 ],[  46.43063354 -150.12571716]
47,11.544075667657244,14.137769900791254,6.500252932395944,[  40.75139618 -150.03546143],[  21.72199631 -148.5955658 ],[  33.11737061 -150.44248962],[  47.25122452 -150.10975647]
48,11.852487335985325,14.180245814623857,6.505299084955727,[  41.5786972 -150.0320282],[  22.17023659 -148.76123047],[  33.90690994 -150.41409302],[  48.0836525  -150.09890747]
49,12.18512811491176,14.222179680294069,6.510339587043409,[  42.41760254 -150.03369141],[  22.60437393 -148.96881104],[  34.7082634 -150.3735199],[  48.92767334 -150.09284973]
50,12.532950442684552,14.263588481592057,6.515394497476112,[  43.2678833  -150.03952026],[  23.03860474 -149.20750427],[  35.5214386  -150.32719421],[  49.78307343 -150.09112549]
51,12.87232458300543,14.304377171943935,6.520458989806321,[  44.12931442 -150.04850769],[  23.50392342 -149.40496826],[  36.34645462 -150.28025818],[  50.64961624 -150.09378052]
52,13.216041118657413,14.344601285447007,6.52551178197442,[  45.00170135 -150.05969238],[  23.9831562  -149.58319092],[  37.18312836 -150.23471069],[  51.52709198 -150.09945679]
53,13.574242298895797,14.38422751822729,6.530553298837564,[  45.88484192 -150.07290649],[  24.46428871 -149.75076294],[  38.03133392 -150.19273376],[  52.41530609 -150.10702515]
54,13.939110733737861,14.423169004196044,6.535552394604555,[  46.77855682 -150.08665466],[  24.95396614 -149.91119385],[  38.89092636 -150.15603638],[  53.31404114 -150.1164856 ]
55,14.30481770046461,14.461425948176009,6.540512533882395,[  47.68267059 -150.09983826],[  25.45701599 -150.06318665],[  39.76169968 -150.12510681],[  54.22312546 -150.12730408]
56,14.667091766724452,14.498967852459604,6.545431221231231,[  48.59697342 -150.11209106],[  25.97668076 -150.20085144],[  40.64343262 -150.10099792],[  55.14235306 -150.13807678]
