,point.objects.object0.color[0],point.objects.object0.color[1],point.objects.object0.color[2],point.objects.object1.color[0],point.objects.object1.color[1],point.objects.object1.color[2],point.objects.object2.color[0],point.objects.object2.color[1],point.objects.object2.color[2],point.objects.object3.color[0],point.objects.object3.color[1],point.objects.object3.color[2],point.params.EGO_BRAKING_THRESHOLD,point.params.EGO_SPEED,point.params.weather,rho
0,0.49705080135242163,0.3958323950637538,0.3958323950637538,0.8463100935733547,0.8463100935733547,0.8463100935733547,0.79771844677167,0.8124770002486138,0.7510295643458585,0.25499965382298856,0.2000633911658395,0.3008838810161433,5.910789716467399,11.052593506795565,5,-1.5000524319577742
1,0.8614117987337137,0.8592182766692696,0.8149244547237103,0.7327524550633475,0.7327524550633475,0.7327524550633475,0.6450052423242622,0.7079252492180639,0.6141561393816652,0.5393093164489428,0.5393093164489428,0.5393093164489428,12.994980077038937,12.480253305492694,9,-0.24861581910233976
2,0.2665374205149226,0.6934360264752305,0.7259809127793031,0.9315171292262504,0.9272906934840651,0.9272906934840651,0.19887995594978183,0.19887995594978183,0.19887995594978183,0.13180277694639297,0.13180277694639297,0.13180277694639297,9.089164641078913,11.092765647618835,3,-0.2576141067020945
3,0.9386285552732625,0.9386285552732625,0.9386285552732625,0.16912351933089645,0.15797737705915746,0.15754066064436387,0.5443078458388813,0.7318175508602646,0.7901657094194994,1.0,1.0,1.0,11.88061103800535,12.158622545531241,8,-0.2383040234049849
4,0.796613789295203,0.796613789295203,0.796613789295203,0.8178191381614007,0.8008283139200858,0.78447628034858,0.47899602992308826,0.4213357514526091,0.4213357514526091,0.3844686488679634,0.29739701734079627,0.29739701734079627,11.90867595032651,11.669636165934076,2,-1.4781311180479184
5,0.9798427659377945,0.9781466672910655,0.9776668193099757,0.870835244825223,0.870835244825223,0.870835244825223,0.8069219946292809,0.4837060364017527,0.4837060364017527,0.5342935951750345,0.5273934781350438,0.5138318909505295,13.349073033154736,9.620214778255678,8,-0.24548120140489438
6,0.9717956180782246,0.9624849616976827,0.9624849616976827,0.6611226840729895,0.6149278560873537,0.5622329046709323,0.5767684801775357,0.5767684801775357,0.5767684801775357,0.5932879787052857,0.5746903588707778,0.5565240994388202,13.743335053434295,11.078785095924468,0,-0.9801405915457586
7,0.9171832027429081,0.9171832027429081,0.9171832027429081,0.8146878283114709,0.7310641094306907,0.7310641094306907,0.3262630144894036,0.32040336600614033,0.2972630202050475,0.7144515974806366,0.7144515974806366,0.7144515974806366,11.172981364360185,12.819307958493827,8,-0.23705378495298035
8,1.0,1.0,1.0,0.705141271434372,0.7067039794249902,0.6998184727498796,0.93529520439953,0.9108469637229182,0.9108469637229182,0.5061962046290901,0.5061962046290901,0.5061962046290901,11.586927059714933,12.009464115722963,12,-0.23846988620355347
9,0.9251144657800597,0.9272391452036963,0.915194918951479,0.974458325108802,0.9723680664285793,0.9723680664285793,0.22643363017929646,0.22643363017929646,0.22643363017929646,1.0,1.0,1.0,12.620517008570145,10.208872993712816,6,-1.5001055128545007
