,c1_c2,c2_c3,c3_c0,p1,p2,p3,p4
0,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
1,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
2,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
3,6.8307017262991145,6.789327372053955,7.00050628139955,[  25.93889618 -148.52664185],[  11.20071793 -158.26112366],[  12.92549324 -151.65176392],[  18.93844414 -148.49908447]
4,6.827447654663746,6.7796002546000835,7.001025793701819,[  25.98198128 -148.53361511],[  11.19983387 -158.21844482],[  12.95864868 -151.62142944],[  18.98100281 -148.50787354]
5,6.819279870313688,6.766703744079059,7.000319799346157,[  26.05938339 -148.54644775],[  11.19868279 -158.14006042],[  13.01722622 -151.56773376],[  19.05911064 -148.52078247]
6,6.807277206703421,6.747810938369108,7.001321543011299,[  26.16773796 -148.56486511],[  11.19693565 -158.02871704],[  13.09940434 -151.49269104],[  19.16646385 -148.53909302]
7,6.791426194102878,6.723858724477569,7.00371273488051,[  26.30713654 -148.59036255],[  11.19476509 -157.8837738 ],[  13.20536327 -151.39678955],[  19.30347252 -148.5642395 ]
8,6.77553608135674,6.695112316640366,7.007046769540079,[  26.47739601 -148.62356567],[  11.19213009 -157.70655823],[  13.33656311 -151.27932739],[  19.47040367 -148.59594727]
9,6.760273889268776,6.665150313357431,7.009603486940739,[  26.67806244 -148.66409302],[  11.18900871 -157.49838257],[  13.49236298 -151.14260864],[  19.66851234 -148.63673401]
10,6.746272541579183,6.635657361283111,7.01107416069148,[  26.90547943 -148.71243286],[  11.1854248  -157.26013184],[  13.67148304 -150.9886322 ],[  19.89445877 -148.68504333]
11,6.7350425962729705,6.60922862671289,7.011449986470421,[  27.157341   -148.77085876],[  11.18140602 -156.99499512],[  13.87232876 -150.82087708],[  20.14595222 -148.74156189]
12,6.73212022702346,6.58678692710194,7.0121216349178805,[  27.43599129 -148.83772278],[  11.17700291 -156.70552063],[  14.09710693 -150.63967896],[  20.42393494 -148.8074646 ]
13,6.73803097654209,6.570045432599474,7.012890572608148,[  27.7410984  -148.91368103],[  11.17217159 -156.38960266],[  14.34697151 -150.44639587],[  20.7282753  -148.88291931]
14,6.754623243242636,6.560881080105429,7.013606413088621,[  28.07199478 -148.99908447],[  11.16689587 -156.04696655],[  14.62277699 -150.24336243],[  21.05845833 -148.96775818]
15,6.784103802636583,6.561119387415214,7.0142782219623925,[  28.4278698 -149.0932312],[  11.16118145 -155.67784119],[  14.92496777 -150.03355408],[  21.41366386 -149.06138611]
16,6.829356043628174,6.5719619806178615,7.014944276393326,[  28.80790138 -149.19511414],[  11.15501881 -155.2828064 ],[  15.25405502 -149.82038879],[  21.79303169 -149.1627655 ]
17,6.894751740938436,6.586341985599635,7.022306480219804,[  29.21200371 -149.30355835],[  11.14842033 -154.86296082],[  15.61120319 -149.6073761 ],[  22.18971825 -149.28637695]
18,6.983226264740781,6.593741320160582,7.049209143942303,[  29.63971901 -149.41688538],[  11.14330864 -154.41920471],[  15.9970417  -149.39857483],[  22.59058571 -149.44958496]
19,7.095455343213827,6.605553947126357,7.088244338247887,[  30.09049034 -149.53311157],[  11.14416504 -153.95272827],[  16.41181946 -149.19906616],[  23.00297737 -149.63493347]
20,7.232386210981711,6.641748629969343,7.111783419691393,[  30.56394386 -149.64997864],[  11.15486526 -153.46458435],[  16.85556793 -149.0138092 ],[  23.45329857 -149.77720642]
21,7.395342083132168,6.68634035330848,7.130062263068948,[  31.05868149 -149.76489258],[  11.17934132 -152.95703125],[  17.32792854 -148.84777832],[  23.93001366 -149.90589905]
22,7.593942252555274,6.733165201084397,7.133228512957422,[  31.55805588 -149.87321472],[  11.2191906  -152.44735718],[  17.82554245 -148.70248413],[  24.42654991 -150.02996826]
23,7.811584263838801,6.771623925288697,7.147787064151107,[  32.06655121 -149.97515869],[  11.27838326 -151.93870544],[  18.33209991 -148.58222961],[  24.92079544 -150.14555359]
24,8.053233017704796,6.795187728865553,7.172923945272878,[  32.58783722 -150.07051086],[  11.35937023 -151.42601013],[  18.85525131 -148.48214722],[  25.417099   -150.24757385]
25,8.328810653783616,6.818807036370545,7.210071191041973,[  33.13033676 -150.1592865 ],[  11.46411514 -150.92127991],[  19.3928318  -148.37088013],[  25.92242432 -150.33570862]
26,8.62749662023862,6.854982013615958,7.2525653076198555,[  33.6913147  -150.23977661],[  11.59354973 -150.4309082 ],[  19.93841553 -148.24072266],[  26.4407711  -150.41101074]
27,8.928547580410976,6.874446141527117,7.298905537123733,[  34.2712822  -150.30987549],[  11.75066471 -149.9538269 ],[  20.49843025 -148.16621399],[  26.97420502 -150.47323608]
28,9.226925769223477,6.876868151307954,7.345893144543128,[  34.86791992 -150.36875916],[  11.93447208 -149.49510193],[  21.06451607 -148.16151428],[  27.52362251 -150.52186584]
29,9.544420890324579,6.859922949979191,7.393913832597026,[  35.48181915 -150.41549683],[  12.13977623 -149.06138611],[  21.64555359 -148.2033844 ],[  28.08925056 -150.55653381]
