,c1_c2,c2_c3,c3_c0,p1,p2,p3,p4
0,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
1,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
2,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
3,6.8307017262991145,6.790316615485037,6.991637359638617,[  25.9305439  -148.52554321],[  11.20071793 -158.26112366],[  12.92549324 -151.65176392],[  18.93896103 -148.49794006]
4,6.827278099837674,6.78190282062028,6.967325610530546,[  25.94932556 -148.52861023],[  11.19980526 -158.21826172],[  12.95864868 -151.62142944],[  18.98204041 -148.50486755]
5,6.818215735131181,6.768205177460809,6.94041825484251,[  25.9995594  -148.53681946],[  11.1986475  -158.13894653],[  13.01722622 -151.56773376],[  19.05916786 -148.51756287]
6,6.8055031895317795,6.751882731845601,6.910429234369537,[  26.08016014 -148.55023193],[  11.19678307 -158.02682495],[  13.09940434 -151.49269104],[  19.16974449 -148.53652954]
7,6.7897233886204145,6.7296339724494505,6.881912696682219,[  26.19046593 -148.56915283],[  11.19456005 -157.88192749],[  13.20536327 -151.39678955],[  19.30855751 -148.56147766]
8,6.774007605263934,6.7024576491725565,6.852993070608149,[  26.33017921 -148.59402466],[  11.19197464 -157.70489502],[  13.33656311 -151.27932739],[  19.4771862  -148.59312439]
9,6.758786735341337,6.674557981668686,6.8217797884660545,[  26.49908447 -148.62568665],[  11.18891048 -157.49676514],[  13.49236298 -151.14260864],[  19.67730904 -148.63339233]
10,6.744679230794556,6.646279953823465,6.790828884022752,[  26.69536781 -148.66477966],[  11.18574524 -157.25854492],[  13.67148304 -150.9886322 ],[  19.90456009 -148.68173218]
11,6.732944474841387,6.620847791272707,6.7622599874779725,[  26.91939545 -148.71224976],[  11.18235111 -156.99311829],[  13.87232876 -150.82087708],[  20.15718651 -148.73852539]
12,6.727941889424723,6.599381918895953,6.734863780179059,[  27.17102432 -148.76879883],[  11.1796627 -156.7021637],[  14.09710693 -150.63967896],[  20.43625641 -148.80473328]
13,6.7292530686591245,6.583613104006334,6.708409524861593,[  27.44991112 -148.83482361],[  11.18120861 -156.38447571],[  14.34697151 -150.44639587],[  20.74165726 -148.88052368]
14,6.737911385761837,6.575411831250454,6.682773119716064,[  27.75541115 -148.91046143],[  11.18818855 -156.04017639],[  14.62277699 -150.24336243],[  21.07286644 -148.9657135 ]
15,6.754747725388259,6.576559568473025,6.658103831428723,[  28.08681297 -148.99552917],[  11.20249939 -155.67002869],[  14.92496777 -150.03355408],[  21.42901802 -149.05966187]
16,6.780408632578998,6.588303725868133,6.634259036491994,[  28.44318962 -149.08934021],[  11.22701359 -155.27537537],[  15.25405502 -149.82038879],[  21.80932236 -149.16143799]
17,6.816084854503989,6.6035422872351015,6.617475710890632,[  28.82369614 -149.19094849],[  11.26494694 -154.85800171],[  15.61120319 -149.6073761 ],[  22.20689583 -149.28549194]
18,6.86194090953284,6.611720100729291,6.6213932198036485,[  29.22826195 -149.29916382],[  11.31991386 -154.41960144],[  15.9970417  -149.39857483],[  22.60856819 -149.44917297]
19,6.917151358399831,6.624218080092861,6.638477902600421,[  29.65641594 -149.412323  ],[  11.39614105 -153.96246338],[  16.41181946 -149.19906616],[  23.02167511 -149.63504028]
20,6.9808574190121995,6.6612981787611965,6.640704821576534,[  30.10759735 -149.52842712],[  11.49812603 -153.48931885],[  16.85556793 -149.0138092 ],[  23.47190666 -149.78643799]
21,7.052113030198242,6.70762233991461,6.638756318903106,[  30.58143997 -149.64526367],[  11.63008976 -153.00312805],[  17.32792854 -148.84777832],[  23.94856071 -149.92454529]
22,7.134785045145683,6.756368642983969,6.639050416358981,[  31.07655144 -149.76019287],[  11.79060745 -152.51679993],[  17.82288551 -148.70671082],[  24.44392586 -150.05220032]
23,7.219948246350915,6.802781471078098,6.646864161084816,[  31.57637405 -149.86859131],[  11.9780035  -152.04481506],[  18.31885719 -148.59210205],[  24.93630981 -150.16917419]
24,7.31171759181014,6.845003380353573,6.660163325120015,[  32.08537674 -149.97068787],[  12.19466972 -151.58670044],[  18.82133293 -148.49662781],[  25.43204117 -150.27218628]
25,7.416167424443338,6.895017918678723,6.676120525128849,[  32.60709381 -150.06626892],[  12.44507313 -151.14541626],[  19.33047295 -148.39027405],[  25.93753052 -150.36209106]
26,7.527341010986093,6.9608798755038706,6.699468798674057,[  33.14995575 -150.1552887 ],[  12.72853279 -150.72360229],[  19.84336662 -148.26596069],[  26.45648193 -150.43864441]
27,7.6334817634626395,7.0138161385212605,6.725725178156003,[  33.71128082 -150.23605347],[  13.03993511 -150.32836914],[  20.36820221 -148.19142151],[  26.99078369 -150.50119019]
28,7.7345777966339595,7.052779762278812,6.754720199280786,[  34.29156494 -150.30645752],[  13.37329769 -149.96690369],[  20.8985405  -148.17961121],[  27.54121971 -150.54953003]
29,7.853069827619347,7.0758478029044145,6.784127986762484,[  34.88853073 -150.3657074 ],[  13.72067738 -149.64028931],[  21.44214249 -148.20861816],[  28.1078701  -150.58258057]
