,c1_c2,c2_c3,c3_c0,p1,p2,p3,p4
0,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
1,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
2,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
3,6.8307017262991145,6.7834231017498325,7.008352630173385,[  25.93889618 -148.52664185],[  11.20071793 -158.26112366],[  12.92549324 -151.65176392],[  18.93060684 -148.49685669]
4,6.827573224482501,6.7563742353904335,7.031336294348988,[  25.98198128 -148.53361511],[  11.19986153 -158.21858215],[  12.95864868 -151.62142944],[  18.95072556 -148.49995422]
5,6.819106447957259,6.721791404078037,7.057112423280572,[  26.05938339 -148.54644775],[  11.19861889 -158.13972473],[  13.01717377 -151.56758118],[  19.00237465 -148.50819397]
6,6.80549875546563,6.683157577129123,7.08237662711386,[  26.16773796 -148.56486511],[  11.19701004 -158.02740479],[  13.09872437 -151.49301147],[  19.08548737 -148.52261353]
7,6.7899756181815745,6.6388030768410955,7.1103581354306815,[  26.30788422 -148.5900116 ],[  11.19487    -157.88314819],[  13.20435905 -151.39733887],[  19.19768906 -148.54187012]
8,6.774329300113591,6.588144310107604,7.136908304014676,[  26.47605324 -148.62255859],[  11.19225788 -157.70626831],[  13.33562183 -151.279953  ],[  19.33935928 -148.56724548]
9,6.759215127911188,6.535565269881594,7.163441985496572,[  26.6751442  -148.66252136],[  11.18917084 -157.49827576],[  13.49152279 -151.14326477],[  19.51197433 -148.6000824 ]
10,6.745322074816351,6.484075952579886,7.187412634528853,[  26.9016819  -148.71040344],[  11.18561745 -157.26016235],[  13.67075157 -150.98931885],[  19.71460533 -148.64089966]
11,6.734133039870605,6.435376571198499,7.210283549847889,[  27.15355492 -148.76675415],[  11.18163681 -156.99511719],[  13.87171841 -150.82162476],[  19.94368362 -148.68965149]
12,6.731254354850423,6.387220808802602,7.235123900639843,[  27.43186951 -148.83247375],[  11.17727184 -156.70573425],[  14.09661579 -150.64048767],[  20.19723129 -148.74864197]
13,6.7372283275614535,6.3443051319051165,7.25949840282599,[  27.7365284  -148.90776062],[  11.17247677 -156.3899231 ],[  14.34660149 -150.44726562],[  20.47760963 -148.81602478]
14,6.753900222069312,6.308427058366887,7.2832802535296715,[  28.06701851 -148.99243164],[  11.16723728 -156.04737854],[  14.62252522 -150.2442627 ],[  20.78442383 -148.89250183]
15,6.783431423458899,6.281601893732672,7.306284832573136,[  28.42249298 -149.0859375 ],[  11.16154957 -155.67835999],[  14.9248333 -150.0345459],[  21.11700058 -148.97833252]
16,6.828745672643316,6.265343563065885,7.32852411905537,[  28.80212021 -149.18725586],[  11.15541935 -155.28341675],[  15.25402832 -149.82144165],[  21.47448921 -149.07284546]
17,6.895708553672466,6.2591023573485165,7.352034471796926,[  29.20581436 -149.29522705],[  11.14884377 -154.86366272],[  15.61015701 -149.60557556],[  21.85470009 -149.1789093 ]
18,6.9847613553284,6.257641443381378,7.381638149764442,[  29.63311768 -149.40820312],[  11.14374352 -154.42001343],[  15.99513721 -149.39498901],[  22.25216675 -149.30747986]
19,7.096760640178077,6.2512467730461365,7.429086191843374,[  30.08347321 -149.52420044],[  11.1445961  -153.95361328],[  16.40953064 -149.19499207],[  22.65455818 -149.47377014]
20,7.233403336861128,6.249523560155681,7.488211503258904,[  30.55649376 -149.64100647],[  11.15527916 -153.46556091],[  16.85296822 -149.00927734],[  23.06831169 -149.66200256]
21,7.399849775298993,6.269496507029401,7.530852547116813,[  31.05077744 -149.75602722],[  11.17409229 -152.95657349],[  17.3250618  -148.84277344],[  23.52009201 -149.80619812]
22,7.6018034662123135,6.300829900882013,7.551994240670609,[  31.54960823 -149.86453247],[  11.20669174 -152.45019531],[  17.81980515 -148.7013092 ],[  23.9979763  -149.93850708]
23,7.809475419078077,6.3522542996334,7.564061287683821,[  32.05739975 -149.96676636],[  11.26323318 -151.94422913],[  18.31531143 -148.58921814],[  24.49396515 -150.06413269]
24,8.037564703540406,6.394148447555106,7.592148436364068,[  32.57814026 -150.06260681],[  11.33995438 -151.4447937 ],[  18.81742477 -148.49693298],[  24.98685646 -150.17718506]
25,8.286426797150085,6.438402174887089,7.63806464640956,[  33.12013245 -150.15197754],[  11.44331741 -150.94654846],[  19.32641792 -148.39280701],[  25.48308372 -150.27655029]
26,8.55332875650901,6.495950868130443,7.692708012309735,[  33.68062592 -150.23312378],[  11.57074642 -150.45957947],[  19.83924484 -148.2706604 ],[  25.98901367 -150.36296082]
27,8.820984642560408,6.5394446446281425,7.752904453996053,[  34.26012039 -150.3039856 ],[  11.72499847 -149.98196411],[  20.36378288 -148.19837952],[  26.50834656 -150.43638611]
28,9.086453812618748,6.568073919043096,7.814473232361197,[  34.85630798 -150.36372375],[  11.90611458 -149.52415466],[  20.89382362 -148.18821716],[  27.04296112 -150.49639893]
29,9.36988439726905,6.5806142442147175,7.877239933128401,[  35.46978378 -150.41130066],[  12.10792542 -149.09034729],[  21.43714333 -148.21832275],[  27.59363747 -150.54255676]
