,c1_c2,c2_c3,c3_c0,p1,p2,p3,p4
0,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
1,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
2,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
3,6.8307017262991145,6.790316615485037,6.999993992751656,[  25.93889618 -148.52664185],[  11.20071793 -158.26112366],[  12.92549324 -151.65176392],[  18.93896103 -148.49794006]
4,6.827573224482501,6.78190282062028,6.999999902593896,[  25.98198128 -148.53361511],[  11.19986153 -158.21858215],[  12.95864868 -151.62142944],[  18.98204041 -148.50486755]
5,6.819106447957259,6.768183237535532,7.000275123788181,[  26.05938339 -148.54644775],[  11.19861889 -158.13972473],[  13.01717377 -151.56758118],[  19.05916786 -148.51756287]
6,6.80549875546563,6.752634359872098,6.998050835775767,[  26.16773796 -148.56486511],[  11.19701004 -158.02740479],[  13.09872437 -151.49301147],[  19.16974449 -148.53652954]
7,6.7899756181815745,6.730776148998406,6.999384867390801,[  26.30788422 -148.5900116 ],[  11.19487    -157.88314819],[  13.20435905 -151.39733887],[  19.30855751 -148.56147766]
8,6.774329903589412,6.703570757304963,6.999673748728265,[  26.47680092 -148.62187195],[  11.19225597 -157.70626831],[  13.33562183 -151.279953  ],[  19.4771862  -148.59312439]
9,6.759216427290178,6.675583206307118,6.9992618070610035,[  26.67651367 -148.66168213],[  11.18916702 -157.49827576],[  13.49152279 -151.14326477],[  19.67730904 -148.63339233]
10,6.745323480240812,6.647204289888252,6.9988538312069055,[  26.90335846 -148.70959473],[  11.18561363 -157.26016235],[  13.67075157 -150.98931885],[  19.90456009 -148.68173218]
11,6.734134563727197,6.621662345697815,6.997662773263599,[  27.15478897 -148.76757812],[  11.181633   -156.99511719],[  13.87171841 -150.82162476],[  20.15718651 -148.73852539]
12,6.731255595676116,6.600078586990912,6.996877587646237,[  27.43307304 -148.8339386 ],[  11.17726898 -156.70573425],[  14.09661579 -150.64048767],[  20.43625641 -148.80473328]
13,6.7372256317236845,6.58417941961416,6.996247026931807,[  27.73784447 -148.90945435],[  11.17248249 -156.3899231 ],[  14.34660149 -150.44726562],[  20.74165726 -148.88052368]
14,6.75389436729168,6.575833784169095,6.995607002654168,[  28.06841469 -148.99438477],[  11.16724873 -156.04737854],[  14.62252522 -150.2442627 ],[  21.07286644 -148.9657135 ]
15,6.7834245454858815,6.576839498406907,6.995007352094491,[  28.42396736 -149.08815002],[  11.16156197 -155.67835999],[  14.9248333 -150.0345459],[  21.42901802 -149.05966187]
16,6.828741093488118,6.588435682600133,6.994413181468703,[  28.80367851 -149.18968201],[  11.15542698 -155.28341675],[  15.25402832 -149.82144165],[  21.80932236 -149.16143799]
17,6.894228862404859,6.6035227915435,7.000575458825654,[  29.2074604 -149.2978363],[  11.14885139 -154.86366272],[  15.61127567 -149.60845947],[  22.20689583 -149.28549194]
18,6.9827680955597335,6.611549093538934,7.024969564537798,[  29.63345718 -149.41552734],[  11.14375114 -154.42001343],[  15.99720383 -149.39974976],[  22.60856819 -149.44917297]
19,7.095126900664796,6.623900146568282,7.062029447934196,[  30.08298492 -149.53422546],[  11.14460182 -153.95361328],[  16.41206169 -149.20022583],[  23.02167511 -149.63504028]
20,7.232152530008702,6.660652963910478,7.084068365138529,[  30.55566788 -149.65194702],[  11.15528584 -153.46556091],[  16.85588264 -149.01502991],[  23.47271729 -149.77778625]
21,7.395235583924392,6.705811601622366,7.100870525291646,[  31.04967308 -149.76774597],[  11.17973042 -152.95808411],[  17.32831192 -148.84901428],[  23.95016479 -149.90682983]
22,7.589642091615425,6.754948829307574,7.102688007217025,[  31.54845238 -149.87690735],[  11.21951962 -152.44851685],[  17.82335854 -148.70793152],[  24.44743919 -150.03114319]
23,7.794114811489708,6.802102971579058,7.11574091804824,[  32.05656052 -149.979599  ],[  11.2786665  -151.93981934],[  18.31912613 -148.59614563],[  24.94272423 -150.14422607]
24,8.014935070675497,6.843603024239839,7.139199771425176,[  32.57738495 -150.07557678],[  11.35923481 -151.42884827],[  18.82145309 -148.50404358],[  25.4401722 -150.2440033]
25,8.265126016992669,6.892085105103365,7.174548915053978,[  33.11925507 -150.16677856],[  11.45948792 -150.92152405],[  19.33058167 -148.39997864],[  25.94658852 -150.33111572]
26,8.537930363231885,6.955964577530874,7.215165046872126,[  33.67948532 -150.25125122],[  11.58050156 -150.42704773],[  19.84347916 -148.27775574],[  26.4659729  -150.40567017]
27,8.811718062093629,7.007403337013171,7.259693952852077,[  34.2586937  -150.32402039],[  11.73023129 -149.94688416],[  20.36812019 -148.20526123],[  27.00041199 -150.46720886]
28,9.07937874522728,7.045530985582265,7.305038434666311,[  34.85466385 -150.38426208],[  11.9111948  -149.48605347],[  20.8983078  -148.19496155],[  27.55080032 -150.51527405]
29,9.36249944259932,7.068671464575184,7.351552166255186,[  35.4679718  -150.43174744],[  12.11571217 -149.04862976],[  21.44189644 -148.22480774],[  28.11736298 -150.54951477]
