,c1_c2,c2_c3,c3_c0,p1,p2,p3,p4
0,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
1,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
2,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
3,6.830232404683035,6.788247914251173,7.000005374199011,[  25.93839073 -148.527771  ],[  11.20071793 -158.26112366],[  12.92720032 -151.6526947 ],[  18.93844414 -148.49908447]
4,6.82157488101123,6.7812226815704735,7.000295539138989,[  25.98123932 -148.53662109],[  11.19986153 -158.21858215],[  12.96025753 -151.62806702],[  18.98100281 -148.50787354]
5,6.813187917054583,6.767863164877351,6.999259357259628,[  26.05831146 -148.54940796],[  11.19861889 -158.13972473],[  13.01924038 -151.57429504],[  19.05911064 -148.52078247]
6,6.799960250907523,6.749497310602717,7.001069015561397,[  26.16732407 -148.56814575],[  11.19701672 -158.02810669],[  13.1009798  -151.50013733],[  19.16631508 -148.53915405]
7,6.784077462765997,6.729352362079522,7.000133033532161,[  26.30578995 -148.59373474],[  11.19511795 -157.88511658],[  13.20580292 -151.40585327],[  19.30571938 -148.56416321]
8,6.770150556225702,6.703261338945692,7.0024138494321955,[  26.47574425 -148.62614441],[  11.19255924 -157.71220398],[  13.33547974 -151.29014587],[  19.4733963  -148.59576416]
9,6.755382632583294,6.673077911227394,7.006775993217854,[  26.67620087 -148.66648865],[  11.18921089 -157.50611877],[  13.49033546 -151.15473938],[  19.66949463 -148.63522339]
10,6.74130823050691,6.642065714771759,7.010598776602223,[  26.90348053 -148.71482849],[  11.18537712 -157.26901245],[  13.66878033 -151.00180054],[  19.89295387 -148.68302917]
11,6.72970709850762,6.614305086279868,7.012652927136325,[  27.1558342 -148.7716217],[  11.18110466 -157.00462341],[  13.8689661  -150.83499146],[  20.1432457  -148.74156189]
12,6.726410607089692,6.591973577819901,7.013408117289161,[  27.43457413 -148.8377533 ],[  11.17643452 -156.71585083],[  14.0930109  -150.65464783],[  20.4212265  -148.80862427]
13,6.732636262808412,6.574642215733749,7.014712451766597,[  27.73963165 -148.91346741],[  11.17133141 -156.40063477],[  14.34145069 -150.46104431],[  20.72496796 -148.88731384]
14,6.749062030056295,6.565904610536396,7.01535494243935,[  28.07050896 -148.99856567],[  11.16579151 -156.05862427],[  14.61608028 -150.25816345],[  21.05519676 -148.97407532]
15,6.778277446072176,6.566890090510783,7.01578075229574,[  28.42637634 -149.09237671],[  11.15982151 -155.69015503],[  14.91724586 -150.04862976],[  21.41063499 -149.06886292]
16,6.823305284261241,6.578571102193566,7.016185717757335,[  28.80636406 -149.19398499],[  11.15342426 -155.29576111],[  15.24524403 -149.835495  ],[  21.79021454 -149.17144775]
17,6.888407069325989,6.593947986118626,7.023319819538691,[  29.21042633 -149.30213928],[  11.14661503 -154.87649536],[  15.60122776 -149.62229919],[  22.18710899 -149.29623413]
18,6.976660867032172,6.602467261143454,7.050081854158621,[  29.63809967 -149.41523743],[  11.14115715 -154.43331909],[  15.98586655 -149.4131012 ],[  22.58816338 -149.46054077]
19,7.092313577756916,6.615546155918061,7.089069989985893,[  30.08882713 -149.53121948],[  11.13664627 -153.96720886],[  16.39940643 -149.21281433],[  23.0007     -149.64683533]
20,7.232365580797503,6.6531741171413685,7.112468343701717,[  30.56222534 -149.6479187 ],[  11.14297676 -153.47961426],[  16.84191322 -149.02661133],[  23.45117188 -149.78977966]
21,7.396573384392573,6.699287218809143,7.1310471866014495,[  31.05690384 -149.76269531],[  11.16574097 -152.97279358],[  17.31306458 -148.85943604],[  23.92762566 -149.92152405]
22,7.592105652860257,6.748231370545605,7.1355985010918745,[  31.55619049 -149.87091064],[  11.20396233 -152.463974  ],[  17.80693054 -148.71685791],[  24.42276573 -150.04702759]
23,7.796992271133548,6.794078781051517,7.152121604307614,[  32.06454849 -149.97280884],[  11.26167202 -151.95504761],[  18.30155945 -148.60346985],[  24.91488266 -150.16021729]
24,8.017566263458248,6.835002108959698,7.178452843609566,[  32.58573151 -150.06817627],[  11.34102917 -151.44297791],[  18.80274391 -148.50968933],[  25.40984154 -150.25997925]
25,8.268104833719734,6.88341741326069,7.216541948710971,[  33.12812805 -150.15699768],[  11.43999004 -150.93652344],[  19.31062126 -148.40379333],[  25.91408539 -150.34690857]
26,8.5380998753638,6.947527961881321,7.259885940011723,[  33.68901443 -150.23757935],[  11.56328964 -150.44535828],[  19.82216644 -148.2796936 ],[  26.43144798 -150.42108154]
27,8.806368694904485,6.998938399286396,7.307063849380524,[  34.26888657 -150.30780029],[  11.71755123 -149.96788025],[  20.3456955  -148.20513916],[  26.96390152 -150.48208618]
28,9.0714598825239,7.036626739384468,7.354934474152595,[  34.86543655 -150.36686707],[  11.89929867 -149.50784302],[  20.87494087 -148.19284058],[  27.51229858 -150.52941895]
29,9.35635944192735,7.059014033204349,7.403909976191585,[  35.47924805 -150.41377258],[  12.10008907 -149.07252502],[  21.41761017 -148.22090149],[  28.07683754 -150.56277466]
