,c1_c2,c2_c3,c3_c0,p1,p2,p3,p4
0,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
1,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
2,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
3,6.8307017262991145,6.7834231017498325,7.008352630173385,[  25.93889618 -148.52664185],[  11.20071793 -158.26112366],[  12.92549324 -151.65176392],[  18.93060684 -148.49685669]
4,6.827278099837674,6.7563742353904335,7.031336294348988,[  25.98198128 -148.53361511],[  11.19980526 -158.21826172],[  12.95864868 -151.62142944],[  18.95072556 -148.49995422]
5,6.818348805635802,6.721791404078037,7.057112423280572,[  26.05938339 -148.54644775],[  11.1986475  -158.13894653],[  13.01717377 -151.56758118],[  19.00237465 -148.50819397]
6,6.804984941121931,6.68282617574881,7.082991804665529,[  26.16773796 -148.56486511],[  11.19680405 -158.02680969],[  13.09872437 -151.49301147],[  19.08487511 -148.52212524]
7,6.7886540443961,6.638344609587642,7.111072465428114,[  26.30788422 -148.5900116 ],[  11.19460773 -157.88168335],[  13.20435905 -151.39733887],[  19.19697762 -148.54144287]
8,6.772585777233875,6.587408278829864,7.138612619078791,[  26.47680092 -148.62187195],[  11.1920042 -157.7043457],[  13.33562183 -151.279953  ],[  19.33839989 -148.56690979]
9,6.757247811215025,6.534687660209647,7.16551441474151,[  26.67609787 -148.66270447],[  11.18892384 -157.49609375],[  13.49152279 -151.14326477],[  19.51086044 -148.59970093]
10,6.7430621044130366,6.483044727335439,7.189726110832099,[  26.9027195  -148.71096802],[  11.18574524 -157.25778198],[  13.67075157 -150.98931885],[  19.71333885 -148.64048767]
11,6.730956381371252,6.434247966011211,7.212826119089795,[  27.1547451  -148.76742554],[  11.18318081 -156.99232483],[  13.87171841 -150.82162476],[  19.94234276 -148.6892395 ]
12,6.725104679991643,6.387125240850992,7.237244745858046,[  27.43319321 -148.83325195],[  11.1823225  -156.70133972],[  14.09661579 -150.64048767],[  20.19646835 -148.74650574]
13,6.725893859457452,6.344420875912538,7.261647017467907,[  27.73797607 -148.90864563],[  11.18463135 -156.38356018],[  14.34660149 -150.44726562],[  20.47695732 -148.81312561]
14,6.7342179884469475,6.308426104019681,7.285606641157686,[  28.06858826 -148.99345398],[  11.19196415 -156.03916931],[  14.62252522 -150.2442627 ],[  20.78372574 -148.889328  ]
15,6.75064940699671,6.281468943728466,7.3087719175253705,[  28.4241848  -149.08705139],[  11.20666027 -155.66894531],[  14.9248333 -150.0345459],[  21.11627388 -148.97486877]
16,6.775913831032845,6.265037641214244,7.331177547120443,[  28.8039341  -149.18844604],[  11.23153782 -155.27420044],[  15.25402832 -149.82144165],[  21.47372818 -149.0690918 ]
17,6.8112377513988935,6.259323643075705,7.353517799959709,[  29.20774269 -149.29647827],[  11.26980114 -154.85675049],[  15.61127567 -149.60845947],[  21.85529518 -149.17102051]
18,6.85672551445042,6.257816737751145,7.381905782336261,[  29.63516617 -149.4095459 ],[  11.32505798 -154.41828918],[  15.99720383 -149.39974976],[  22.25414658 -149.29516602]
19,6.911663416367165,6.250403138409219,7.428826416460633,[  30.08563423 -149.52558899],[  11.40154648 -153.96109009],[  16.41206169 -149.20022583],[  22.6571064  -149.45898438]
20,6.97508311812484,6.2474132401703395,7.487306997877604,[  30.55877113 -149.64242554],[  11.50374699 -153.48788452],[  16.85588264 -149.01502991],[  23.07146454 -149.6448822 ]
21,7.046146092460582,6.265987567420949,7.5295949923455625,[  31.05317307 -149.75740051],[  11.63587761 -153.00164795],[  17.32831192 -148.84901428],[  23.52363777 -149.78738403]
22,7.128814921455706,6.295889142997277,7.550549923197719,[  31.55210304 -149.86587524],[  11.79647446 -152.51538086],[  17.82335854 -148.70793152],[  24.00173759 -149.9186554 ]
23,7.214293813085211,6.346312017031298,7.562572168088261,[  32.05998993 -149.9680481 ],[  11.98376465 -152.04374695],[  18.31941795 -148.5933075 ],[  24.4977951  -150.04359436]
24,7.3063495602272255,6.387729621122971,7.590759840111272,[  32.58084488 -150.06381226],[  12.20026207 -151.58581543],[  18.82196999 -148.49781799],[  24.99064827 -150.15628052]
25,7.411045871802283,6.431700931974923,7.636865687317238,[  33.12295914 -150.15309143],[  12.45043278 -151.14445496],[  19.33117104 -148.39144897],[  25.48678207 -150.25564575]
26,7.522414428951905,6.489261469120872,7.69175172696596,[  33.68356705 -150.23413086],[  12.7337141  -150.72244263],[  19.84411049 -148.26704407],[  25.9925766  -150.34234619]
27,7.628802341273213,6.5329568794635495,7.752215399793008,[  34.26316833 -150.30490112],[  13.04491901 -150.32701111],[  20.36900139 -148.19242859],[  26.51175499 -150.41641235]
28,7.730104311416881,6.561929173437714,7.814070514822617,[  34.85946274 -150.36453247],[  13.37817955 -149.96540833],[  20.8993969  -148.18052673],[  27.04620743 -150.47740173]
29,7.84885258997369,6.574812170320457,7.877133629136544,[  35.47304535 -150.41195679],[  13.72543335 -149.63870239],[  21.44306183 -148.20947266],[  27.59671974 -150.52478027]
