,c1_c2,c2_c3,c3_c0,p1,p2,p3,p4
0,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
1,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
2,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
3,6.830232404683035,6.788247914251173,7.000005374199011,[  25.93839073 -148.527771  ],[  11.20071793 -158.26112366],[  12.92720032 -151.6526947 ],[  18.93844414 -148.49908447]
4,6.82157488101123,6.7812226815704735,7.000295539138989,[  25.98123932 -148.53662109],[  11.19986153 -158.21858215],[  12.96025753 -151.62806702],[  18.98100281 -148.50787354]
5,6.813187917054583,6.767863164877351,6.999259357259628,[  26.05831146 -148.54940796],[  11.19861889 -158.13972473],[  13.01924038 -151.57429504],[  19.05911064 -148.52078247]
6,6.799188960676556,6.749694353774534,7.0009204966640475,[  26.16732407 -148.56814575],[  11.19701004 -158.02740479],[  13.10099125 -151.50024414],[  19.16646385 -148.53909302]
7,6.782149585766501,6.727544228992289,7.003086719417731,[  26.30629539 -148.59318542],[  11.19487    -157.88314819],[  13.20554066 -151.40589905],[  19.30327034 -148.563797  ]
8,6.764702133325533,6.697189420889636,7.010355931688691,[  26.47675705 -148.62554932],[  11.19225597 -157.70626831],[  13.33561325 -151.2901001 ],[  19.46646881 -148.59474182]
9,6.748252378865529,6.661683584689195,7.020998455368617,[  26.67750931 -148.66596985],[  11.18916702 -157.49827576],[  13.49071026 -151.15463257],[  19.65658951 -148.63273621]
10,6.733270783246325,6.625605796512857,7.030725958108555,[  26.90502167 -148.71438599],[  11.18561363 -157.26016235],[  13.66933823 -151.00172424],[  19.87438583 -148.67878723]
11,6.721142734519759,6.593932530695345,7.037847020546013,[  27.15759277 -148.77122498],[  11.181633   -156.99511719],[  13.86969376 -150.83491516],[  20.11984634 -148.7335968 ]
12,6.71733618635919,6.5653545175250825,7.044889831532269,[  27.43653679 -148.83743286],[  11.17726898 -156.70573425],[  14.0939064  -150.65463257],[  20.39174843 -148.79962158]
13,6.72246862290535,6.5433141646478505,7.051082433191173,[  27.74179077 -148.91317749],[  11.17247295 -156.3899231 ],[  14.34314919 -150.4621582 ],[  20.69081688 -148.87405396]
14,6.7384035901941575,6.529159731507434,7.056784617574027,[  28.07285881 -148.99830627],[  11.16723347 -156.04737854],[  14.61826515 -150.25976562],[  21.01619339 -148.95729065]
15,6.767380788087948,6.5246198802214295,7.0605946558599655,[  28.42757416 -149.09567261],[  11.16154671 -155.67835999],[  14.91974068 -150.05044556],[  21.36713028 -149.04953003]
16,6.812285359682199,6.531381079837149,7.064111450779077,[  28.80706215 -149.19908142],[  11.15540886 -155.28341675],[  15.24804306 -149.83753967],[  21.7431221  -149.14987183]
17,6.877467281507621,6.5419698334555925,7.074289928881149,[  29.21100998 -149.30792236],[  11.14883137 -154.86366272],[  15.6043148 -149.6245575],[  22.1368084  -149.27256775]
18,6.96584536253424,6.556964796355769,7.092380621001072,[  29.63855934 -149.42166138],[  11.14373016 -154.42001343],[  15.98921585 -149.41558838],[  22.54617882 -149.42048645]
19,7.078170997930064,6.5878783888115455,7.107496178484367,[  30.08917809 -149.53822327],[  11.14458084 -153.95361328],[  16.40299606 -149.21551514],[  22.98172379 -149.56262207]
20,7.215258951670358,6.6320528808154044,7.1176470567663115,[  30.56250191 -149.65533447],[  11.15526485 -153.46556091],[  16.84572029 -149.02949524],[  23.44493294 -149.68867493]
21,7.378425219186978,6.682078435555575,7.125921115721293,[  31.05712128 -149.77038574],[  11.17970753 -152.95808411],[  17.31706238 -148.86247253],[  23.9313221  -149.81207275]
22,7.572942761257225,6.726613718489241,7.128473637809209,[  31.55639076 -149.87878418],[  11.21949959 -152.44848633],[  17.81103325 -148.72006226],[  24.42809486 -149.92912292]
23,7.777486248271778,6.7679297997809575,7.143773942555805,[  32.06479645 -149.98069763],[  11.27864552 -151.93980408],[  18.30575371 -148.60678101],[  24.92123032 -150.03518677]
24,7.99824680195959,6.807304260335796,7.1669008772816145,[  32.58600235 -150.07594299],[  11.35921764 -151.42886353],[  18.80703354 -148.51304626],[  25.41931152 -150.1308136 ]
25,8.244386724656467,6.856280770435064,7.200697964893914,[  33.12843323 -150.16452026],[  11.46402454 -150.92355347],[  19.3149929  -148.40716553],[  25.92793083 -150.21759033]
26,8.511703137038076,6.922242328970165,7.239152881240942,[  33.68936157 -150.2447052 ],[  11.59025288 -150.43051147],[  19.8265934  -148.28300476],[  26.4503746  -150.29371643]
27,8.782355962681208,6.977574363962569,7.281083968925335,[  34.26927948 -150.31445312],[  11.74266243 -149.95187378],[  20.35021019 -148.20834351],[  26.98832703 -150.35821533]
28,9.047355189205788,7.021423022307393,7.323512090584362,[  34.86586761 -150.37295532],[  11.92547131 -149.49163818],[  20.87955856 -148.19589233],[  27.54245377 -150.41088867]
29,9.328623878858615,7.051571226612191,7.366902223447892,[  35.47971725 -150.41918945],[  12.13087177 -149.05558777],[  21.42233849 -148.22380066],[  28.11288452 -150.45118713]
