,c1_c2,c2_c3,c3_c0,p1,p2,p3,p4
0,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
1,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
2,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
3,6.8307017262991145,6.790316615485037,6.999993992751656,[  25.93889618 -148.52664185],[  11.20071793 -158.26112366],[  12.92549324 -151.65176392],[  18.93896103 -148.49794006]
4,6.827573224482501,6.78190282062028,6.999999902593896,[  25.98198128 -148.53361511],[  11.19986153 -158.21858215],[  12.95864868 -151.62142944],[  18.98204041 -148.50486755]
5,6.819106447957259,6.768183237535532,7.000275123788181,[  26.05938339 -148.54644775],[  11.19861889 -158.13972473],[  13.01717377 -151.56758118],[  19.05916786 -148.51756287]
6,6.80549875546563,6.752634359872098,6.998050835775767,[  26.16773796 -148.56486511],[  11.19701004 -158.02740479],[  13.09872437 -151.49301147],[  19.16974449 -148.53652954]
7,6.7899756181815745,6.730776148998406,6.999384867390801,[  26.30788422 -148.5900116 ],[  11.19487    -157.88314819],[  13.20435905 -151.39733887],[  19.30855751 -148.56147766]
8,6.774208700674356,6.703527945356412,6.999673748728265,[  26.47680092 -148.62187195],[  11.19225597 -157.70626831],[  13.335742   -151.28012085],[  19.4771862  -148.59312439]
9,6.7590701566868505,6.675515066949526,6.9992618070610035,[  26.67651367 -148.66168213],[  11.18916702 -157.49827576],[  13.49168301 -151.14347839],[  19.67730904 -148.63339233]
10,6.745176185118302,6.647147876885451,6.9988538312069055,[  26.90335846 -148.70959473],[  11.18561363 -157.26016235],[  13.67089081 -150.98953247],[  19.90456009 -148.68173218]
11,6.734009861985525,6.6215889647663015,6.998335136295632,[  27.15546799 -148.76593018],[  11.181633   -156.99511719],[  13.87186146 -150.82182312],[  20.15718651 -148.73852539]
12,6.731115541601412,6.599995686894042,6.997783811608221,[  27.43398857 -148.83161926],[  11.17726898 -156.70573425],[  14.09676838 -150.64071655],[  20.43625641 -148.80473328]
13,6.73709071531663,6.584080978497832,6.997232467588437,[  27.7388401  -148.90687561],[  11.17247295 -156.3899231 ],[  14.34676266 -150.44750977],[  20.74165726 -148.88052368]
14,6.753778765684991,6.5757156794490665,6.996685035007466,[  28.06950378 -148.99154663],[  11.16723347 -156.04737854],[  14.62269402 -150.24450684],[  21.07286644 -148.9657135 ]
15,6.784467798120267,6.577399070530238,6.996172138429968,[  28.4251442  -149.08502197],[  11.16154671 -155.67835999],[  14.92399788 -150.03274536],[  21.42901802 -149.05966187]
16,6.830183332151522,6.589637016053934,6.9956536058739935,[  28.80493164 -149.18634033],[  11.15540886 -155.28341675],[  15.25252819 -149.81852722],[  21.80932236 -149.16143799]
17,6.895529048575721,6.605150984886934,7.001897644411065,[  29.20878792 -149.29431152],[  11.14883137 -154.86366272],[  15.60948944 -149.60525513],[  22.20689583 -149.28549194]
18,6.983895410692295,6.613622901269926,7.027798358121237,[  29.63624191 -149.40731812],[  11.14373016 -154.42001343],[  15.99515724 -149.39622498],[  22.60856819 -149.44917297]
19,7.096011885355213,6.626434553071122,7.0659479969224295,[  30.08674049 -149.52336121],[  11.14458084 -153.95361328],[  16.40977478 -149.19639587],[  23.02167511 -149.63504028]
20,7.232742453661197,6.66360045601073,7.088514018068387,[  30.55989647 -149.64022827],[  11.15526485 -153.46556091],[  16.85339165 -149.01091003],[  23.47271729 -149.77778625]
21,7.3954435019934035,6.7090770166288305,7.106301912217664,[  31.05432129 -149.75523376],[  11.17970753 -152.95808411],[  17.32565117 -148.84469604],[  23.94969368 -149.90948486]
22,7.593076444615792,6.757255283871593,7.109525747053389,[  31.55282974 -149.86680603],[  11.21436024 -152.44685364],[  17.8205471  -148.70344543],[  24.44529533 -150.0350647 ]
23,7.804085123214596,6.802254297964632,7.124634845207912,[  32.06030273 -149.97181702],[  11.26366425 -151.93302917],[  18.3161869  -148.59152222],[  24.93785858 -150.14848328]
24,8.030986517926241,6.842222256170962,7.150107466140429,[  32.58110428 -150.06893921],[  11.33641052 -151.41767883],[  18.81840515 -148.49937439],[  25.43325424 -150.24859619]
25,8.28159399447319,6.889436346990383,7.187408595864335,[  33.12316132 -150.15916443],[  11.43736458 -150.91146851],[  19.32747841 -148.39533997],[  25.93792915 -150.33602905]
26,8.550206531959132,6.95214288779379,7.229969209453221,[  33.68368912 -150.24099731],[  11.56423759 -150.42076111],[  19.84035873 -148.27323914],[  26.45571518 -150.4108429 ]
27,8.819804819590548,7.002340447874646,7.2763787819303465,[  34.2632103  -150.31233215],[  11.71896362 -149.94325256],[  20.36496353 -148.20094299],[  26.98859596 -150.4725647 ]
28,9.088283969799761,7.0391404791307535,7.323518956657584,[  34.85945129 -150.37280273],[  11.89905262 -149.48243713],[  20.89507675 -148.19075012],[  27.53742599 -150.52070618]
29,9.372495202675415,7.060898836669633,7.3717772100945655,[  35.47296143 -150.42085266],[  12.10243607 -149.04670715],[  21.43846893 -148.22077942],[  28.10240364 -150.55493164]
