,point.objects.object0.color[0],point.objects.object0.color[1],point.objects.object0.color[2],point.objects.object1.color[0],point.objects.object1.color[1],point.objects.object1.color[2],point.objects.object2.color[0],point.objects.object2.color[1],point.objects.object2.color[2],point.objects.object3.color[0],point.objects.object3.color[1],point.objects.object3.color[2],point.params.EGO_BRAKING_THRESHOLD,point.params.EGO_SPEED,rho
0,0.8656948880726918,0.6398801480285956,0.3227938512383193,0.8149739404928119,0.4445927595993443,0.4445927595993443,1.0,1.0,1.0,0.7034660026232423,0.36815976273804324,0.2391167796091186,14.064911655193114,24.96735634185921,1.0
1,0.9558400981829605,0.9553595386412623,0.9553595386412623,0.7026960299656739,0.7026960299656739,0.7026960299656739,1.0,1.0,1.0,0.6419128548879708,0.6419128548879708,0.6419128548879708,5.9212301144272015,9.978371999379362,1.0
2,1.0,1.0,1.0,0.019671437857505136,0.019671437857505136,0.019671437857505136,0.4239682622814453,0.4239682622814453,0.4239682622814453,0.5182200313980392,0.4824133123695953,0.4824133123695953,5.719082882606067,27.30292240564298,1.0
3,0.8341809942014757,0.8417830713509699,0.8131299216606279,0.7909072073674408,0.7909072073674408,0.7909072073674408,0.7681680462280122,0.6300198609882315,0.4814060406112278,0.3919419822758645,0.3676261533344109,0.3633179679759996,6.008517784733608,3.480260723210492,1.0
4,0.44851736710901924,0.7230193032494063,0.6537586222279297,0.675546142435291,0.6574634487483458,0.6101618212990284,0.18930462209549415,0.3407809759708078,0.4414756354243592,0.39201321876900475,0.3894425996307266,0.3894425996307266,14.299006869977866,14.30808180518773,1.0
5,0.8883839315714481,0.9146998333427117,0.8656459227037425,0.4986489695410749,0.4986489695410749,0.4986489695410749,0.20150957496388863,0.20150957496388863,0.20150957496388863,0.7955762142348991,0.7777083869210137,0.5895254821652162,12.279592104503301,18.664587374882032,1.0
6,0.9434892546311212,0.9372797452275022,0.9372797452275022,0.5781294328456841,0.48076817667825034,0.48076817667825034,0.5817944962423828,0.7669236059712123,0.4215325634439866,0.7167230235571131,0.7167230235571131,0.7167230235571131,10.556242965019946,26.78527080442289,1.0
7,0.6288957218860215,0.5521149885200156,0.5454820090818736,0.7337952134519801,0.17322910993931284,0.17322910993931284,0.7336041285119127,0.7336041285119127,0.7336041285119127,0.8745483278020336,0.829617979079704,0.829617979079704,6.953505082963426,14.69621821969891,1.0
8,0.7610049091267026,0.6111618887567898,0.3469035020720419,0.9999999999999999,1.0,1.0,0.5265544603833053,0.1952544974863769,0.1952544974863769,0.799520540706978,0.5177271461014725,0.377282566896075,8.64501840053574,27.028375782110054,1.0
9,0.6390999412726996,0.589121469224906,0.5827835374335202,0.5557763913297886,0.5189349130504042,0.7223252108278004,1.0,1.0,1.0,0.9552202698318604,0.9382130542181657,0.9382130542181657,9.811304873411991,22.630913092918455,1.0
10,0.8343229181259237,0.5910991139000163,0.5910991139000163,0.8927250659586463,0.8801378802945976,0.8801378802945976,0.917950842713197,0.917950842713197,0.917950842713197,0.6974424991528905,0.7160451169644951,0.604702929822816,8.695326660092578,22.14368394845657,1.0
11,1.0,1.0,1.0,0.2696580271487896,0.6679371192006343,0.5875408596672911,0.623846282590245,0.7188144576279367,0.47130754938894603,0.49400907230793123,0.49400907230793123,0.49400907230793123,13.51079497783585,20.579528099548806,1.0
12,0.2744814119842014,0.2744814119842014,0.2744814119842014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.256281160585408,21.22032664904558,1.0
13,0.898070032849889,0.8781870663290934,0.868600780883996,0.1940765660114174,0.19195683459872803,0.17070237761832416,0.9597518000340916,0.9597518000340916,0.9597518000340916,0.9575963681886498,0.9489270589135158,0.9489270589135158,11.326648260800521,16.306850400852866,1.0
14,0.1909690195513133,0.15445026676283785,0.14518949348847943,0.3584985497646901,0.4160895049972479,0.6343940314227691,0.763538402098927,0.6607458074413038,0.6607458074413038,0.8984573946892557,0.8538983072483295,0.8538386520747475,9.985720508377138,19.842676675456577,1.0
15,0.9239621675329928,0.9239621675329928,0.9239621675329928,0.9364877124479761,0.9364877124479761,0.9364877124479761,0.9429507588241827,0.9429507588241827,0.9429507588241827,0.8230028487966553,0.8230028487966553,0.8230028487966553,12.243354004711744,16.771709575636148,1.0
16,0.14005434284027443,0.14005434284027443,0.14005434284027443,0.6439994953318194,0.6829057282249853,0.5283202478001987,0.516747677572111,0.4956777688564754,0.4956777688564754,0.38986579992164516,0.5238169692344534,0.8092988246109184,5.1827091357072455,8.897273702198632,1.0
17,1.0,1.0,1.0,0.6983208100106462,0.6399702837180896,0.5712238587312577,0.8827712273361217,0.8458939289221437,0.8458939289221437,0.8961039977656843,0.8961039977656843,0.8961039977656843,13.655614035540308,13.204383516209004,1.0
18,0.7048297548980847,0.47735552510695267,0.3927529000495448,1.0,1.0,1.0,0.10259012368482423,0.10313914757768566,0.09633298557766343,0.10206823027901196,0.10206823027901196,0.10206823027901196,7.305160729955244,5.468777739744363,1.0
19,0.7683193433204754,0.7669023885995054,0.766057948397816,0.8931077896789873,0.8612041719561184,0.8612041719561184,0.606759654361749,0.606759654361749,0.606759654361749,0.2751761011214424,0.6240527335933453,0.7448519115144527,5.897865203981773,2.22173388314868,1.0
20,0.5125135015896852,0.5029022722330665,0.48523573758661154,0.7281768906547126,0.3567577164256772,0.3567577164256772,0.6755189760752579,0.6866001802178873,0.4384287339245191,0.8912977536578253,0.42999672447066045,0.37100936161870424,7.607235686970816,21.430284913512985,1.0
21,0.26223406630487744,0.6334783411264385,0.49383270513596145,0.1848232809863882,0.1848232809863882,0.1848232809863882,0.653704859602952,0.6815812256895946,0.654317631695933,0.7634005913888273,0.7634005913888273,0.7634005913888273,10.657793067668258,7.8682683739873545,1.0
22,0.5805890694673033,0.5805890694673033,0.5805890694673033,0.8929659036367029,0.8707340490328203,0.8707340490328203,0.17934183459158137,0.17934183459158137,0.17934183459158137,0.5737182284166412,0.5628970697117036,0.5163526892336142,11.11441683165066,20.30350868370791,1.0
23,0.9798681737640179,0.9790341481665207,0.9788347610578757,0.5432363453236827,0.5432363453236827,0.5432363453236827,1.0,1.0,1.0,1.0,1.0,1.0,7.3185403343972695,15.898448730629946,1.0
24,0.21723764825554093,0.39097954135480384,0.40001227004301065,0.22304889994495183,0.22304889994495183,0.22304889994495183,0.26501318538912744,0.26501318538912744,0.26501318538912744,0.7177500607577968,0.6401337518271729,0.6401337518271729,8.37229746738977,21.402710237937114,1.0
