,c1_c2,c2_c3,c3_c0,p1,p2,p3,p4
0,12.459716532715271,6.999999652201162,13.382104911916192,[  12.91868973 -151.65808105],[  11.20083141 -158.27005005],[  18.92899132 -148.49661255],[  25.92893219 -148.52529907]
1,12.459716532715271,6.999999652201162,13.382104911916192,[  12.91868973 -151.65808105],[  11.20083141 -158.27005005],[  18.92899132 -148.49661255],[  25.92893219 -148.52529907]
2,12.459716532715271,6.999999652201162,13.382104911916192,[  12.91868973 -151.65808105],[  11.20083141 -158.27005005],[  18.92899132 -148.49661255],[  25.92893219 -148.52529907]
3,12.457935631829995,6.999493270830596,13.390721805194866,[  12.91869068 -151.65808105],[  11.20071793 -158.26112366],[  18.93896103 -148.49794006],[  25.93839073 -148.527771  ]
4,12.44641354231579,6.999358886923032,13.430471753716402,[  12.91863346 -151.65814209],[  11.19980526 -158.21826172],[  18.98204041 -148.50486755],[  25.98132706 -148.53666687]
5,12.424121862019323,7.00056111359822,13.497310367007694,[  12.9240694  -151.65374756],[  11.1986475  -158.13894653],[  19.05916786 -148.51756287],[  26.05965424 -148.5499115 ]
6,12.394911087580603,6.998203114933684,13.57558377487611,[  12.94355392 -151.63653564],[  11.19678307 -158.02682495],[  19.16974449 -148.53652954],[  26.16787529 -148.56834412]
7,12.356963855639068,6.9976467657380725,13.65567419640588,[  12.98514175 -151.59831238],[  11.19456005 -157.88192749],[  19.30848122 -148.56211853],[  26.30605888 -148.59321594]
8,12.314190533276106,6.9995831222803995,13.741423002717136,[  13.04721642 -151.54161072],[  11.19197464 -157.70489502],[  19.47612572 -148.59379578],[  26.47563744 -148.62541199]
9,12.26869239339049,7.004712039314624,13.831856420300237,[  13.13058472 -151.46586609],[  11.18891048 -157.49676514],[  19.67142487 -148.63291931],[  26.67605972 -148.665802  ]
10,12.224071381828216,7.0089047387396635,13.921443059596186,[  13.23752689 -151.36935425],[  11.18574524 -157.25854492],[  19.89460373 -148.68045044],[  26.90342712 -148.71421814]
11,12.185406186805594,7.0105404977559465,14.00920094250403,[  13.36821747 -151.25253296],[  11.18319511 -156.99313354],[  20.14544296 -148.73709106],[  27.15590096 -148.77110291]
12,12.157053935897144,7.011282966601067,14.096398032234212,[  13.52381802 -151.11634827],[  11.18234348 -156.70217896],[  20.42356682 -148.8032074 ],[  27.43476677 -148.83732605]
13,12.141389041043764,7.0117141708519535,14.185880393157648,[  13.70293903 -150.96292114],[  11.18466187 -156.38446045],[  20.72831726 -148.8789978 ],[  27.73994827 -148.91314697]
14,12.146575375549785,7.01205374921015,14.281027361936458,[  13.90340328 -150.79508972],[  11.18922901 -156.04423523],[  21.05898094 -148.96417236],[  28.07095146 -148.99833679]
15,12.187342917561207,7.012352828099575,14.379610303391862,[  14.12809658 -150.61431885],[  11.19547749 -155.69892883],[  21.41465569 -149.0581665 ],[  28.42692566 -149.09225464]
16,12.269043266321068,7.0140054867385215,14.481628569142712,[  14.37744808 -150.42070007],[  11.20324421 -155.359375  ],[  21.79308319 -149.16383362],[  28.807024   -149.19395447]
17,12.383785807728186,7.022435865682977,14.586868713430238,[  14.65309811 -150.21798706],[  11.21248245 -155.02612305],[  22.18876457 -149.29206848],[  29.21119308 -149.30223083]
18,12.516374500031672,7.049752585912623,14.695606319845592,[  14.95535469 -150.00895691],[  11.22311974 -154.69911194],[  22.58934593 -149.45806885],[  29.63896942 -149.41540527]
19,12.682180679061089,7.089370955678538,14.807607026283137,[  15.28456402 -149.79669189],[  11.23509026 -154.37825012],[  23.00135231 -149.64614868],[  30.08979607 -149.53149414]
20,12.929666009826981,7.113171929924933,14.92155639159488,[  15.64188194 -149.58470154],[  11.24832535 -154.0634613 ],[  23.45155525 -149.79058838],[  30.56330299 -149.64825439]
21,13.216524065824546,7.13203633245406,15.035082713602057,[  16.02796173 -149.37716675],[  11.27778053 -153.75125122],[  23.92785645 -149.92344666],[  31.05809021 -149.7631073 ]
22,13.514469845133224,7.136861574810533,15.13031434978818,[  16.44305801 -149.17927551],[  11.33633137 -153.42375183],[  24.42290878 -150.04997253],[  31.55753517 -149.87136841]
23,13.812121987682835,7.153655609965787,15.210432027935383,[  16.88712692 -148.99580383],[  11.41299438 -153.07447815],[  24.91500473 -150.16407776],[  32.06611633 -149.97331238]
24,14.111082310971618,7.180143459150078,15.277855010013054,[  17.35976601 -148.83164978],[  11.51169682 -152.70594788],[  25.40998459 -150.2645874 ],[  32.58745575 -150.06871033]
25,14.412755907090295,7.2183206370903115,15.345124270888363,[  17.85491943 -148.69287109],[  11.63667011 -152.32118225],[  25.91428947 -150.35214233],[  33.12998581 -150.15751648]
26,14.716400901168948,7.261627990119403,15.42936723555591,[  18.35071945 -148.58343506],[  11.79157925 -151.92349243],[  26.43173027 -150.42735291],[  33.69093323 -150.23970032]
27,15.022147375092535,7.3086281782377505,15.52469243447465,[  18.85303879 -148.49368286],[  11.9771471  -151.51446533],[  26.9642849  -150.48947144],[  34.27077866 -150.31285095]
28,15.32335234482115,7.356315514990134,15.631120367444309,[  19.36229134 -148.39212036],[  12.19983006 -151.10217285],[  27.51277542 -150.53752136],[  34.86727142 -150.37391663]
29,15.614769727063264,7.405125076794897,15.752861534922976,[  19.87547493 -148.27256775],[  12.46311092 -150.69172668],[  28.07741547 -150.57119751],[  35.48103333 -150.42179871]
30,15.893252348480956,7.453494221808528,15.871115876189975,[  20.40012741 -148.20291138],[  12.76769543 -150.28755188],[  28.65805817 -150.59060669],[  36.11035538 -150.45703125]
31,16.162092932434774,7.502117465856638,15.989504692749199,[  20.93017578 -148.19488525],[  13.10727024 -149.90072632],[  29.25439835 -150.59606934],[  36.75561142 -150.47958374]
32,16.42854508327189,7.550166862959797,16.101766800886907,[  21.47344208 -148.22669983],[  13.47066784 -149.54504395],[  29.86605453 -150.58830261],[  37.41556168 -150.48849487]
33,16.682786648989396,7.598418650867561,16.209246557392426,[  22.03090096 -148.28968811],[  13.86434269 -149.22154236],[  30.49266815 -150.56845093],[  38.09064102 -150.48614502]
34,16.928379603433886,7.64660568398209,16.32043251429563,[  22.59258652 -148.39700317],[  14.28180313 -148.9329834 ],[  31.1339283  -150.53794861],[  38.78026962 -150.47436523]
35,17.166681996444055,7.695043883137542,16.453206084313173,[  23.13965607 -148.56889343],[  14.71914387 -148.68328857],[  31.78957367 -150.49861145],[  39.48448944 -150.45420837]
36,17.408816425303478,7.743697435429808,16.609312134986947,[  23.6738739  -148.79771423],[  15.16336346 -148.47413635],[  32.45940781 -150.45245361],[  40.20306396 -150.4271698 ]
37,17.65836935544764,7.79263201705585,16.753615238286788,[  24.23949432 -149.0118103 ],[  15.61009979 -148.3026886 ],[  33.14327621 -150.40167236],[  40.93590546 -150.39509583]
38,17.914687811693888,7.8416227871557656,16.896303326116907,[  24.82519531 -149.21278381],[  16.05985832 -148.16558838],[  33.84106064 -150.34844971],[  41.68267822 -150.35748291]
